danceability,energy,key note,loudness (dB),speechiness,acousticness,instrumentalness,liveness,valence,tempo (BPM),duration (s)
49.6,86.3,9,-4.153,3.81,0.46,0,63.9,24.3,110.018,186
31.5,29.6,5,-13.262,3.17,77.1,0,70.2,43.6,172.638,264
55.3,70.3,10,-6.414,4.39,10.5,0,21,33,100.006,170
91.6,90.6,3,-2.494,19.5,2.79,0,8.03,29.1,95.3,162
73.6,93.9,11,-2.812,28.4,0.55,0,9.05,76.1,132.07,219
47.4,74.1,6,-3.69,11.1,6.02,0,11.5,40.2,174.1,196
68.9,79.1,0,-5.194,5.3,2.3,0,5.26,75.5,95.04,211
68.1,77.4,1,-3.167,7.87,9.92,0,35,26.7,102.924,162
72.9,77.1,4,-2.451,7.25,0.761,0,8.7,87.3,125.011,198
61.7,80,4,-5.024,6.54,14.7,0,8.52,42,94.985,208
67.1,93.9,8,-3.206,16.1,19.2,0,29.8,52.9,129.023,252
69.4,92.4,0,-3.764,4.05,0.309,0.00389,12.1,72,118.988,294
69.8,84.4,7,-4.549,6.7,5.77,0.00169,10.5,44.6,126.937,198
66.6,72.3,1,-6.164,26.8,1.09,0.047,5.07,73.9,192.024,211
57.6,78.2,6,-4.825,2.96,0.778,0,28.5,35.5,141.153,224
75.6,58.9,0,-5.093,23.2,8.12,0,17.6,81.1,146.928,206
67.7,64,1,-8.308,19.3,4.13,0,19,61.6,85.058,218
69.6,52.1,10,-8.465,33.2,30.2,0,5.65,45.8,100,293
66.2,58.6,0,-8.821,3.07,9.7,0.272,11.5,29.6,90,194
71.4,69.7,1,-7.887,3.2,1.97,0.0002,6.97,60.2,122.145,159
56,85.7,4,-4.145,3.84,5.94,0,38.1,43.2,119.975,215
61.7,75.9,0,-6.785,6.77,0.26,0,41.9,32.4,122.925,219
56.8,68.6,11,-4.901,9.03,13.3,0,11,40,148.294,209
40.7,14.7,2,-8.822,3.55,85.7,0.000289,9.13,7.65,141.284,229
54.6,31.1,1,-10.396,2.88,81.8,0.00165,10.7,24.6,147.464,261
71.5,71.5,5,-7.364,9.04,5.26,0,9.36,50.6,134.923,239
67.4,69.4,9,-7.076,10.9,31.3,0.000717,7.52,20.3,101.993,199
73.3,65,5,-3.539,3.15,7.03,0.00659,8.29,34.8,110.003,209
74.6,84.6,9,-2.432,4.8,4.85,0,19.5,40.3,114.955,175
57.3,73.9,0,-5.74,12.9,2.85,0,11.1,45.1,97.085,230
73.6,79.5,1,-3.299,5.45,49.8,0.000121,25.4,51.1,104.066,231
70.7,62.9,0,-4.581,5.63,25.9,0.0016,13.8,45.7,122.863,212
58.4,54,1,-7.786,5.76,8.95,0,26.1,19.5,137.972,221
59.8,53.2,3,-6.833,2.95,6.68,0.000322,6.17,26.1,74.963,263
74.6,65.3,7,-6.745,28.9,37.8,0,22.9,67.2,75.016,253
73.6,44.9,1,-11.462,42.5,33,0.0162,8.98,32.6,80.126,219
64.7,93.2,11,-3.515,8.24,0.383,0.00015,5.74,37.4,114.991,199
70,71.4,9,-6.295,10.4,12.2,0,4.28,45.8,99.909,234
66.9,57.9,5,-6.341,4.68,13.1,0,19,66,123.979,201
94.5,39.4,10,-8.571,49.2,30.3,0,13.1,74.3,120.058,210
73,70.1,5,-5.885,10.6,13.2,0,15.1,78.5,175.95,207
88.8,48.3,6,-7.797,15.4,1.3,0.000485,9.26,22.6,125.008,200
31.5,56.3,9,-9.671,35.4,17.3,0.0242,6.73,14.7,179.484,176
63.8,69.9,1,-5.54,38.4,2.23,0,9.17,66,92.939,208
48.3,78.7,8,-5.244,10.2,11.2,0,25.7,58,122.058,191
69,40.7,9,-7.739,2.97,71.1,0,12.6,18.1,111.916,233
51.6,59.5,5,-4.63,3.13,2.75,0,10.9,22.2,119.972,341
74.5,35.6,1,-10.425,9.41,17.2,0.943,12.3,60.7,160.033,327
68.3,69.1,8,-5.535,4.32,24.3,0,14,73.2,179.91,220
63.8,52.3,1,-6.664,35.7,0.454,0,8.42,42.2,139.913,186
80.3,74.3,1,-3.602,6.81,10.5,0.000212,9.9,67.4,108.005,203
68.9,67.5,0,-4.281,32,53.1,0.000317,11.5,60.4,180.065,206
83.5,41.3,1,-9.81,39.6,37.3,0.133,10.1,11.1,149.004,259
69.7,69.1,2,-4.757,14.6,21.4,0,18.5,30.5,137.853,239
73.6,96.4,0,-2.147,12.9,19.8,0.000232,33.6,95.3,179.935,228
86.9,48.5,6,-5.595,5.45,24.6,0,7.65,52.7,106.028,205
67.1,67.2,0,-3.094,6.88,3.29,0,11.8,63.2,97.98,204
54.2,65.4,8,-5.862,5.37,23,0,24.1,56.3,144.971,195
66.3,57.5,6,-4.907,4.58,10,0.000316,13.3,45.8,110.04,215
49.7,48.9,11,-7.724,29.4,5.76,0.00991,12.2,23.1,171.853,268
32.5,18,10,-10.647,3.11,91,0.0633,11.3,9.97,72.416,212
83.2,60.8,6,-6.042,3.85,28.2,0,7.61,58.9,94.013,199
71.6,35,0,-11.094,5.37,41,0.134,9.27,17.8,129.842,201
57.2,63.1,1,-8.389,10.4,18.8,0.00231,25.9,21.9,77.519,249
92.7,66.5,11,-5.313,24.4,6.1,0,12.3,17.5,127.076,343
65.9,91.1,4,-2.28,7.86,15.4,0.0304,19.1,57.6,91.999,170
56.3,59.2,9,-4.571,2.76,20.9,0.00508,13.2,13.6,104.016,268
84.5,50.6,1,-5.971,4.09,2.28,0.000103,8.79,64.7,99.051,265
73.3,67.6,10,-5.655,4.32,6.97,0,20.8,70.1,97.448,227
71.1,73.9,7,-3.804,12.9,11.4,0,22.6,43,136.919,252
71.3,52.6,1,-5.046,3.2,0.767,0.0148,12.4,13.1,131.05,263
84.1,72.8,7,-3.37,4.84,8.47,0,14.9,43,130.049,244
68.1,87.9,3,-6.006,29.1,26.6,0,44.6,81.8,99.955,211
77,56.7,2,-5.698,17.5,10.5,0,12.5,26,81.477,222
60.8,86,5,-5.324,5.54,9.91,0,26.2,43.7,127.075,233
63.8,83.2,8,-5.039,4.9,14.1,0,11.3,64.8,124.071,228
52,79.8,0,-5.389,9.44,7.63,0,14.4,48.5,95.252,238
67.1,37.3,9,-18.064,3.23,25.7,0.00795,4.81,73.2,92.717,296
44.9,90.1,6,-7.711,5.26,14.1,6.75,12.8,69.6,125.148,356
54.3,91.5,0,-4.746,11.3,1.62,0,74.4,57.7,153.998,292
56.5,78.2,8,-6.413,5.06,5.77,0.00416,7.57,40,140.004,232
50.4,70.5,6,-8.205,36.4,7.52,0,12.8,58.4,175.483,239
64,74.3,10,-4.08,3.79,26.9,0,10.1,36.1,122.035,263
89.3,74.5,11,-3.105,5.71,6.42,0,9.43,87.2,101.018,223
61.1,64.4,6,-7.607,5.53,12.4,0,12.4,13,105.969,222
79.3,56.7,2,-7.604,8.13,6.87,0,6.63,81.3,108.007,189
82.8,60.9,1,-4.402,6.94,9.16,0.000121,29.1,70.7,109.725,293
75.2,50.5,9,-7.621,25.3,53.5,0.000255,10.4,41.9,91.97,197
73.9,61.9,10,-6.669,16.2,5.72,0,10.5,58,112.961,223
70.3,86.8,7,-4.661,2.91,15,13.2,10.4,73.3,121.03,194
68.1,31.4,8,-9.319,5.81,20,0.000982,10,16.6,139.992,208
70.4,69,6,-5.451,16,24.9,0,12.3,40.2,144.045,271
79.2,61.2,5,-5.212,6.93,8.05,0.000383,8.52,42,109.959,200
69.9,71.8,9,-6.295,11.6,13,0,4.3,52,99.915,234
73.7,46.3,0,-7.828,7.92,0.817,44.7,25.5,32.4,123.881,232
66.5,49.8,5,-8.185,8.31,22.8,0,7.57,12.7,81.967,180
73.1,86.1,11,-5.881,3.23,3.19,0,8.29,78,104.034,200
61.2,80.7,10,-2.81,3.36,4.95,1.77,10.1,39.8,124.053,240
59.4,72.1,2,-7.812,9.57,2.09,0.000855,8.79,25.3,128.942,235
33.5,62.5,7,-7.462,3.86,16.4,0,7.08,34.6,150.277,241
83.8,77.1,1,-3.791,24.4,1.17,0,8.53,40.5,175.957,245
71.2,56.2,10,-6.008,12.9,12.5,0,13.6,14.2,140,236
76.5,68.8,4,-5.566,8.41,63.3,0,7.34,43.4,90.013,230
92.9,72.3,11,-5.792,10.9,6.72,0,34.6,45.8,125.022,224
93.6,52.3,5,-6.71,5.97,23.9,0,11.7,69.9,119.889,124
33.4,61.7,6,-5.834,38.3,33.4,0,16.3,60.3,85.227,216
83.9,81,5,-5.274,5.68,50.1,0,11.7,81.4,129.014,209
88.4,34.6,8,-8.228,35.1,1.51,0.000704,8.71,37.6,75.016,220
72,80.7,11,-4.59,4.32,12.9,0,18.3,30.5,124.946,198
80,58.5,10,-7.343,9.24,26.4,0,15.3,77.9,126.058,213
65.8,53.5,9,-8.983,5.73,2.65,0,20,41.9,110.684,227
67,58.5,6,-4.861,3.54,10.7,0.000111,13.1,44.7,110.03,215
76.6,70.9,9,-6.471,12.3,20.4,0.00141,12.6,50.6,128.07,212
64.8,78.5,7,-5.414,16.5,5.61,0,14.8,94.3,160.02,219
79.8,53.9,1,-6.351,4.21,19.9,0.00166,16.5,39.4,136.949,203
77.5,86.7,5,-1.582,4.14,1.32,0.684,27.8,86.9,96.038,266
67.7,49.7,5,-5.763,8.09,15.2,0,9.11,41.9,99.137,237
80.1,79.5,1,-5.115,5.04,4.17,0.0113,7.17,75.4,79.028,163
73.9,79.2,11,-4.256,4.18,9.1,0,5.16,54.7,104.016,182
73.9,83.3,1,-5.012,4.63,35,0,26.6,69.9,117.99,195
69.6,74.3,6,-3.851,3.29,7.73,0,5.87,63.6,123.007,201
92.4,44.4,1,-8.227,24.3,1.43,0,26,31.4,136.088,237
75.5,78.9,5,-4.502,14.6,23.1,0,35.1,73.7,93.973,230
85.2,77.3,8,-2.921,7.76,18.7,0.00305,15.9,90.7,102.034,196
77.8,82.4,10,-5.892,7.12,28.4,0,40.5,75.6,100.024,218
48.3,78.7,8,-5.244,10.2,11.2,0,25.7,58,122.058,191
68.4,82.3,9,-3.297,7.73,7.44,0,11.1,64.7,91.048,208
72.4,90.4,8,-3.354,9.66,7.86,0,22.6,84.6,90.999,201
72.3,77.7,7,-3.503,10.8,4.26,0.000368,4.51,96.1,91.017,243
47.3,46.1,6,-6.474,33.3,14.9,0,9.73,61.5,165.985,234
57.8,57.4,2,-6.209,4.54,19.6,0,8.3,30.1,174.152,261
87.7,65.8,11,-6.055,13.2,16.3,0,10.8,69.3,123.999,214
72.6,43.1,0,-6.666,5.54,1.39,0,5.4,86,85.889,188
67.8,40.1,6,-8.408,3.12,72,0,11.8,19.4,111.855,233
74.4,85.9,11,-3.166,7.95,2.56,0.00627,8.81,78.7,91.977,233
76.3,59.8,11,-6.865,5.39,7.14,0,11.2,18.2,140.987,191
69.7,71.6,9,-6.288,11.3,11.8,0,4.24,50.6,99.905,234
73.1,79.4,0,-5.126,5.22,3.23,0.00259,11.2,35.6,139.994,220
76,58.8,9,-7.082,7.75,4.85,0,8.47,38.4,102.974,204
66.3,70.8,8,-4.154,4.73,3.37,0,8.41,74.2,103.073,175
76.1,83.8,4,-3.073,5.02,40,0,17.6,71,93.974,223
79.2,81.9,5,-5.418,8.67,3.09,0,38.9,43.3,89.98,206
83.2,77.2,10,-5.429,10,5.59,0.0486,44,70.4,96.016,209
57.3,78.1,8,-6.406,5.55,7.67,0.00264,8.13,34.3,139.934,232
45.4,70.8,10,-4.526,6.75,0.124,0.0181,6.79,48.3,192.18,202
53,42.2,5,-6.262,3.42,40.7,0,10.7,34.9,119.964,221
54,80.3,8,-5.194,3.58,0.403,0,33,50.1,144.997,198
78.8,43,11,-7.757,4.19,53.7,0.261,9.36,46.1,121.996,193
85.5,62.4,1,-4.093,4.88,15.8,0,5.13,96.2,117.959,181
74.3,73.3,8,-5.337,3.75,0.402,0,30.4,62.2,104.977,189
69.7,69.1,2,-4.757,14.6,21.4,0,18.5,30.5,137.853,239
73.1,46.9,5,-7.226,3.26,46.3,0.000104,10.3,63.1,98.963,165
56.4,71.4,7,-4.987,12.9,5.49,0,15.5,33,175.924,204
55.7,80.1,1,-3.602,21.8,1.25,0.000166,73.7,65.4,92.135,214
82.5,49.5,7,-8.446,3.51,58.1,0.00401,14.5,88.1,122.052,199
25.8,43.7,11,-6.593,3.9,10.1,0.000127,10.6,9.67,180.043,239
68,84,9,-3.823,4.15,4.57,0.000838,14.3,46.8,104.985,213
65.5,69.9,11,-4.421,4.93,3.52,0,6.4,80.2,86.704,187
65.7,73.9,2,-4.081,27.4,14.1,0,17.8,54.3,181.994,202
70.2,63.5,11,-6.917,26.5,2.23,0,28.3,87.3,144.004,204
51.3,76.8,4,-4.868,5.87,1.18,0.00194,29.4,23.5,84.264,211
60.7,71.8,4,-4.095,9.78,3.2,0,40.3,55.1,101.821,213
77.3,74.7,5,-4.061,8.89,2.39,0.000823,11,80,126.014,246
53.6,76.8,10,-5.948,3.47,0.433,0,11.4,54.5,77.217,228
96.5,41.4,1,-6.408,7.13,18.9,0,7.67,72.8,121.032,215
61.6,78.9,7,-4.874,3.77,5.3,0,14.2,62.1,83.066,227
79.5,56.8,5,-7.817,14.2,5.41,0,10.8,47.8,136.173,199
84.3,35.9,0,-7.417,46.1,6.9,0,12,15.6,81.987,164
79.1,58.1,11,-7.323,28.6,1.13,0,35,43.8,162.99,182
92,67.4,1,-5.662,26.4,30.7,0,10.4,74.1,141.967,304
86.5,68.7,10,-3.744,21.7,24.2,0,15.8,48.6,139.023,242
38.1,59.4,3,-5.97,4.86,34.8,0,9.25,27.3,143.86,291
59.6,83.8,5,-6.52,7.04,1.89,0.00154,10.8,47.2,94.982,240
72.9,75.6,8,-5.119,2.94,13.1,0,5.27,52.2,104.945,228
61,68.3,2,-3.879,2.53,0.382,0.000179,12.5,46.6,108.003,242
76.1,38.6,4,-6.158,3.99,35.5,0,9.53,52.6,134.943,238
52.2,38.5,0,-7.355,2.88,53.6,0,13.5,23.6,89.792,208
78.3,67.3,11,-4.938,5.36,14.3,0,21.6,65.8,91,228
77.7,91.1,6,-3.223,17.3,24.6,0,25.7,70.4,96.017,239
49.1,88.5,3,-4.121,3.95,0.219,0,7.41,64.1,166.992,245
55.8,92.4,9,-4.341,6.4,2.71,0.000332,53.7,56.7,151.99,187
56.7,79.5,9,-4.985,13.4,9.38,0,11.4,63.5,170.06,188
63.3,59.2,0,-7.245,11.2,19.7,0,9.9,67.9,90.066,194
65.6,72.1,5,-5.665,12.2,29.8,0,17.3,46.8,148.066,212
74.3,85.5,5,-3.976,4.36,14.1,0.45,9.9,87.1,96.989,202
73.9,82.1,1,-4.233,8.52,22.2,0.00096,31.1,69.3,171.077,188
74.8,56.5,7,-5.895,4.76,16.4,0.169,10.3,81.2,175.92,193
81.4,81.3,2,-3.023,5.61,3,0.00933,25.5,83.9,79.997,233
76.5,35.6,11,-5.556,19.6,22.2,0,9.63,19,97.001,198
53,43.3,6,-10.598,18.5,10.8,0,13.5,27.4,160.14,195
64.3,78.3,10,-6.458,8.56,4.7,0,8.3,57.9,154.084,164
60.6,88.9,9,-4.782,5.19,4.81,0.000356,9.33,33.7,97.988,192
32.2,28,6,-9.367,2.81,46.8,0.00011,10.2,17.5,85.794,248
69.7,50.6,8,-4.863,3.25,7.92,0,8.93,51.6,100.002,211
84.6,81.5,4,-4.512,7.61,13.9,0.000219,13.1,83.1,118.999,237
69.7,92.1,0,-3.75,3.91,0.305,0.00365,8.31,72.1,118.99,295
66.5,42.4,0,-7.838,4.44,43.7,0,10.7,13.4,129.911,205
82.2,75.3,1,-4.499,3.32,3.37,0.00176,21.8,70.9,118.982,242
48.9,58.8,1,-6.177,5.07,2.85,0.000211,9.06,18.7,113.617,270
44.5,95.5,8,-8.027,8.56,3.26,28.4,31.7,33.6,123.343,274
27.4,94.9,11,-8.642,8.96,2.14,0.778,21.8,49.7,100.346,406
75.5,83.2,2,-2.741,11.6,7.46,0.000127,29.1,73.5,120.032,200
69.2,71.1,0,-7.498,3.17,22.7,0,12,87.5,125.135,217
70.7,61.1,2,-4.474,6.39,1.98,0.000359,6.51,28.5,123.006,186
96.7,58.3,7,-5.562,7.89,5.84,0,5.19,96.4,117,243
49.5,89.4,2,-4.814,4.41,0.453,0.0596,10.3,21.3,126.03,240
59.6,60.5,7,-12.145,2.55,18.1,0.0331,8.63,88.6,97.798,284
85.2,61.6,0,-4.728,7.47,4.5,0,32.1,68.5,94.758,228
89.4,79.1,2,-4.699,11.2,1.83,0,3.88,58.3,105.018,250
58.9,73.1,2,-6.343,8.68,5.34,0,30.8,19.1,87.908,269
71.6,80.5,4,-3.839,8.56,1.4,0.00031,29.1,71.9,142.886,134
81.5,43.8,0,-14.522,3.46,21.6,0.0466,7.87,55.2,108.965,244
73.4,66.7,2,-4.996,8.71,9.2,0.00212,10.4,16.5,100.578,211
72.6,88.9,0,-3.655,4.29,3.28,0,9.25,64.9,96.024,174
83.6,70.5,5,-5.221,5.37,1.92,0.00147,10.7,55.3,119.949,243
56.7,91.3,8,-6.471,7.36,9.34,0.0124,11.4,79.2,93.35,211
92.2,58.1,10,-7.495,27,0.104,0.00586,10.5,59.5,140.022,181
59.6,85.4,7,-5.114,46.3,1.69,0,12.4,15.2,120.274,203
67.5,67.4,1,-4.984,3.05,4.09,0,12.8,56.9,134.941,201
62.6,88,9,-2.384,5.04,20.5,0,12.8,53.4,95.079,203
51.1,56.6,6,-7.23,20,34.9,0,34,21.8,83.903,240
70.3,69.6,0,-5.482,5.29,3.75,0.000565,27.4,36.6,121.969,206
73.7,63.6,11,-4.546,4.37,4.41,0.00666,35,56.5,105.005,223
63.8,65.8,3,-6.318,4.56,24.5,0.000377,9.19,33,105.076,206
90.9,62.8,2,-5.456,20.1,7.39,0,10.8,40.6,145.905,276
81.5,81.6,2,-5.474,26.9,0.299,0,15.9,49.8,181.967,190
89.6,51.5,2,-5.395,18.3,3.38,0,31.7,17.4,138.016,303
89,63.3,11,-5.475,16.8,2.32,0.0343,9.93,42.5,139.948,233
85.4,46.3,5,-6.159,13.7,11.7,0,35.4,54.9,120.024,226
60.1,72.4,6,-4.856,4.86,9.45,0.000168,12,50.8,102.061,208
65.3,80.9,0,-4.057,4.74,19.4,0,16.5,55,92.213,211
58.3,73.2,11,-5.728,4.57,0.312,0.000986,26.9,27.6,145.992,213
63.5,90,0,-3.719,3.77,0.664,1.45,37,15,127.978,203
60.9,72.6,5,-4.346,4.14,7.23,0.000845,8.95,36.2,93.958,195
54.8,58,11,-7.524,12.1,10.4,0,12.7,46.2,180.066,194
57.9,90.4,5,-2.729,6.18,19.3,0,6.4,68.1,82.014,191
55.9,85.5,5,-5.077,18.6,4.88,0.0681,68,60.5,156.311,209
95.1,53,5,-6.594,17.8,11.5,17.9,17,69.9,109.979,215
66.7,70.5,2,-7.657,4.88,44.4,0,10.7,50.6,113.808,248
69.2,48.8,11,-7.282,10.4,68.8,0,40,51,81.4,122
